Date, Open, High, Low, Close
07/04/2015,255,258,253,256
06/02/2017,1012,1029,1006,1024
28/03/2017,1014,1066,1011,1024
25/04/2017,1256,1283,1255,1280
28/06/2017,2408,2570,2408,2560
11/03/2019,3883,3911,3820,3840
31/03/2019,4077,4101,4077,4096
11/12/2019,7206,7265,7135,7168
25/11/2019,7052,7370,6529,7168
28/07/2018,8208,8263,8065,8192
29/07/2019,9536,9707,9126,9472
17/12/2020,20830,23751,20752,22784
29/05/2023,27535,28441,27535,27648
18/01/2025,104764,105079,102260,103936
21/12/2023,43454,44244,43318,43776
13/10/2024,63006,63354,62037,62720
19/10/2021,61439,64309,61145,64256
04/07/2015,255,259,254,257
05/04/2015,253,259,252,257
07/12/2016,757,769,752,769
16/06/2016,694,771,692,769
11/12/2016,775,775,763,769
02/12/2016,753,778,753,769
13/09/2017,4167,4201,3735,3841
10/10/2017,4801,4905,4738,4865
21/07/2018,7341,7444,7215,7425
25/05/2018,7587,7655,7333,7425
10/02/2018,8568,9087,8184,8193
04/11/2019,9159,9577,9078,9473
23/02/2018,10097,10393,9599,9985
13/08/2020,11579,11661,11281,11521
25/10/2020,13135,13353,12913,13057
18/11/2020,17687,18481,17275,17665
08/11/2022,20808,20831,17484,18177
27/08/2023,26029,26167,25965,26113
02/02/2021,33840,36000,33458,35841
14/02/2024,49424,52052,49282,51713
09/04/2021,57723,58880,57460,58369
17/08/2015,258,261,256,258
16/08/2015,265,265,256,258
08/12/2016,769,772,763,770
09/12/2016,770,773,766,770
03/01/2017,1018,1029,1013,1026
08/12/2018,3335,3493,3311,3330
22/01/2019,3539,3608,3435,3586
26/10/2018,6408,6449,6383,6402
11/04/2018,6848,6959,6786,6914
28/07/2020,10801,11415,10589,11010
31/12/2020,28794,29303,28000,29186
25/12/2024,97239,99254,97224,99074
03/02/2022,37599,37621,36270,36354
24/02/2022,37673,39645,34339,38402
30/08/2021,48822,49405,47429,48642
05/10/2021,49365,51371,48604,51202
01/07/2015,262,265,255,259
23/05/2024,69584,70010,66736,67075
05/10/2017,4208,4355,4147,4355
27/09/2018,6492,6668,6433,6659
12/04/2018,6914,8049,6768,7683
16/11/2019,8466,8524,8434,8451
07/02/2020,9768,9870,9655,9731
26/11/2020,18908,19030,16222,17155
04/10/2022,19534,20268,19510,20227
16/06/2023,25430,26468,25214,26371
08/10/2023,27884,28106,27733,27907
04/07/2021,34759,35680,34294,35587
22/11/2023,36943,37636,35675,37635
23/09/2021,43447,44931,43064,44803
12/05/2021,56703,58000,53583,54531
11/08/2024,61027,61743,59589,59651
09/08/2017,3433,3457,3240,3332
06/03/2019,3838,3891,3812,3844
27/10/2018,6401,6421,6388,6404
10/08/2018,6473,6625,6308,6404
04/03/2020,8709,8843,8674,8708
09/07/2020,9439,9469,9167,9220
09/06/2020,9696,9886,9575,9732
14/12/2020,19151,19333,18986,19204
11/07/2022,20898,21162,20263,20484
22/12/2024,97413,97523,94339,95492
21/05/2021,40252,42247,35578,36100
02/08/2021,41269,41504,38953,39172
08/02/2022,44174,45488,42721,44292
14/05/2021,48537,51537,48393,50180
09/05/2021,59120,59537,56330,57348
08/08/2024,54747,59852,54614,59396
24/10/2021,61029,61472,59541,60676
01/07/2024,61931,63789,61771,63236
21/03/2015,262,263,254,261
27/01/2015,267,277,249,261
07/09/2017,4613,4666,4480,4613
06/09/2017,4461,4690,4410,4613
26/10/2017,5656,5985,5636,5893
23/10/2018,6390,6414,6360,6405
03/03/2020,8890,8971,8665,8709
12/07/2020,9208,9340,9162,9221
03/01/2025,97227,98937,96037,98309
30/05/2021,34068,36491,33451,36101
15/12/2023,42934,43176,41684,42245
23/12/2021,48975,51378,48061,50949
23/03/2021,55592,55994,53009,55045
15/10/2021,57874,61833,56893,61445
20/03/2015,253,267,251,262
30/06/2015,255,268,255,262
18/06/2016,757,779,726,774
04/02/2017,1012,1040,1004,1030
30/03/2017,1039,1052,1023,1030
10/03/2017,1200,1336,1174,1286
16/01/2019,3566,3667,3565,3590
23/06/2018,6197,6209,5937,6150
05/01/2020,7332,7488,7324,7430
18/11/2019,8528,8563,8035,8198
17/03/2023,25022,26999,24697,26886
30/11/2024,97416,97557,96152,97030
25/06/2021,34838,35489,31507,32262
08/01/2022,41911,42215,40562,40966
12/07/2024,57386,58529,56563,57606
19/03/2021,57290,59229,56304,58886
09/08/2015,269,269,261,263
23/03/2015,268,271,262,263
10/12/2016,770,776,769,775
07/12/2018,3626,3634,3212,3335
27/08/2017,4336,4391,4309,4359
01/09/2017,4727,4873,4695,4871
22/11/2017,8192,8301,7965,8199
13/02/2018,8849,8974,8380,8711
08/09/2020,10145,10440,9929,9991
05/12/2017,11445,11873,11425,11783
01/11/2020,13799,13899,13639,13831
31/08/2022,19950,20473,19766,20231
26/04/2023,27622,30008,27622,27911
01/11/2023,34545,35184,34142,34567
07/01/2021,36112,40376,35765,39175
05/08/2021,39748,41392,37355,40711
15/01/2022,43132,43794,42610,43527
09/07/2024,56492,58234,56203,57863
10/08/2015,263,267,262,264
19/10/2015,265,268,263,264
14/12/2016,779,780,771,776
03/06/2017,2420,2591,2419,2568
27/07/2017,2475,2597,2451,2568
04/07/2017,2551,2637,2543,2568
25/10/2018,6423,6435,6362,6408
11/11/2019,9036,9096,8604,8712
27/01/2020,8554,8968,8539,8968
25/04/2018,9446,9756,8764,8968
30/01/2018,11139,11200,9748,9992
23/07/2022,22593,22996,21960,22280
23/08/2023,25768,26789,25381,26632
10/10/2023,27614,27727,27298,27400
19/07/2021,31655,31911,30430,30728
04/02/2021,37110,38737,36213,37640
07/08/2021,42914,44574,42433,44040
03/12/2021,57043,57652,51809,53512
06/07/2024,56458,58077,56037,57864
15/08/2015,267,267,265,265
13/08/2015,269,270,263,265
18/10/2015,268,274,262,265
11/01/2015,277,280,263,265
12/12/2016,769,780,768,777
15/05/2019,7773,8260,7628,8201
16/12/2017,17739,19264,17479,19209
28/08/2022,20025,20151,19824,19977
10/03/2023,20118,20475,19580,19977
20/01/2023,21102,22352,20882,22281
15/02/2024,51714,52839,51518,51721
08/10/2024,63346,63386,61849,62217
16/10/2015,255,267,254,266
11/08/2015,264,267,264,266
18/03/2015,288,288,264,266
15/12/2016,776,779,775,778
20/03/2017,1053,1054,1010,1034
11/07/2017,2406,2407,2254,2314
22/04/2019,5259,5438,5236,5386
19/09/2018,6301,6511,6106,6410
21/10/2019,8243,8340,8160,8202
29/08/2020,11511,11582,11426,11530
21/08/2022,20986,21577,20787,21514
18/12/2020,22792,23280,22361,22794
15/01/2021,39326,39676,34406,35594
24/12/2023,43732,43952,43447,43530
14/08/2015,265,267,262,267
07/07/2015,275,275,264,267
04/01/2015,295,295,256,267
26/01/2015,248,311,246,267
31/05/2016,539,546,520,523
13/12/2016,777,789,765,779
22/09/2017,3635,3755,3514,3595
14/03/2019,3854,3899,3788,3851
